,Unnamed: 0,votes,eevp,timestamp,state,expected_votes,trump2016,votes2012,votes2016,vote_share_rep,vote_share_dem,vote_share_trd,effective_vote_split,dem_votes,rep_votes,votes_change,split_change,rep_votes_change,dem_votes_change,dem_share,rep_share
72,72,473200,20,2020-11-04T02:52:39Z,alabama,2300000,1318255,2074338,2123372,0.593,0.395,0,60.020242914979754,186914.0,280607.6,13414,0.6072874493927074,10713.217999999935,2539.813999999984,0.18934053973460443,0.7986594602653896
73,73,480531,20,2020-11-04T02:52:42Z,alabama,2300000,1318255,2074338,2123372,0.596,0.392,0,60.32388663967611,188368.152,286396.47599999997,7331,0.30364372469635725,5788.875999999989,1454.1520000000019,0.198356567998909,0.7896434320010898
74,74,514594,22,2020-11-04T02:54:26Z,alabama,2300000,1318255,2074338,2123372,0.5920000000000001,0.396,0,59.91902834008097,203779.22400000002,304639.64800000004,34063,-0.40485829959514064,18243.17200000008,15411.072000000015,0.45242850013210856,0.5355714998678942
75,75,516083,22,2020-11-04T02:55:57Z,alabama,2300000,1318255,2074338,2123372,0.5920000000000001,0.396,0,59.91902834008097,204368.86800000002,305521.13600000006,1489,0.0,881.4880000000121,589.6440000000002,0.39600000000000013,0.5920000000000082
76,76,554303,23,2020-11-04T02:56:15Z,alabama,2300000,1318255,2074338,2123372,0.595,0.39299999999999996,0,60.22267206477733,217841.07899999997,329810.285,38220,0.30364372469635725,24289.148999999918,13472.210999999952,0.3524911302982719,0.6355088697017247
77,77,566449,24,2020-11-04T02:56:28Z,alabama,2300000,1318255,2074338,2123372,0.597,0.391,0,60.4251012145749,221481.559,338170.053,12146,0.20242914979757387,8359.76800000004,3640.4800000000396,0.29972665898238426,0.6882733410176223
78,78,573225,24,2020-11-04T02:57:53Z,alabama,2300000,1318255,2074338,2123372,0.594,0.39399999999999996,0,60.121457489878544,225850.64999999997,340495.64999999997,6776,-0.30364372469635725,2325.5969999999506,4369.090999999957,0.6447891086186477,0.34321089138133865
79,79,583921,25,2020-11-04T02:58:08Z,alabama,2300000,1318255,2074338,2123372,0.595,0.39299999999999996,0,60.22267206477733,229480.95299999998,347432.995,10696,0.10121457489878338,6937.34500000003,3630.3030000000144,0.3394075355273013,0.6485924644727029
80,80,589136,25,2020-11-04T02:58:42Z,alabama,2300000,1318255,2074338,2123372,0.5920000000000001,0.396,0,59.91902834008097,233297.856,348768.51200000005,5215,-0.30364372469635725,1335.5170000000508,3816.9030000000203,0.7319085330776645,0.25609146692234913
81,81,590341,25,2020-11-04T02:59:22Z,alabama,2300000,1318255,2074338,2123372,0.5920000000000001,0.396,0,59.91902834008097,233775.03600000002,349481.87200000003,1205,0.0,713.359999999986,477.1800000000221,0.39600000000001834,0.5919999999999884
82,82,593003,25,2020-11-04T03:01:01Z,alabama,2300000,1318255,2074338,2123372,0.5920000000000001,0.396,0,59.91902834008097,234829.18800000002,351057.77600000007,2662,0.0,1575.9040000000386,1054.1520000000019,0.3960000000000007,0.5920000000000145
83,83,605794,25,2020-11-04T03:03:29Z,alabama,2300000,1318255,2074338,2123372,0.598,0.39,0,60.526315789473685,236259.66,362264.812,12791,0.6072874493927145,11207.035999999905,1430.4719999999797,0.1118342584629802,0.8761657415370109
84,84,635162,27,2020-11-04T03:06:21Z,alabama,2300000,1318255,2074338,2123372,0.607,0.381,0,61.43724696356276,241996.722,385543.334,29368,0.9109311740890718,23278.521999999997,5737.062000000005,0.1953507899754837,0.7926492100245164
85,85,642315,27,2020-11-04T03:06:59Z,alabama,2300000,1318255,2074338,2123372,0.606,0.382,0,61.336032388663966,245364.33000000002,389242.89,7153,-0.10121457489879049,3699.5560000000405,3367.6080000000075,0.4707965888438428,0.517203411156164
86,86,652784,27,2020-11-04T03:08:18Z,alabama,2300000,1318255,2074338,2123372,0.61,0.37799999999999995,0,61.74089068825911,246752.35199999996,398198.24,10469,0.40485829959514064,8955.349999999977,1388.021999999939,0.1325840099340853,0.8554159900659066
87,87,661443,28,2020-11-04T03:09:05Z,alabama,2300000,1318255,2074338,2123372,0.613,0.375,0,62.044534412955464,248041.125,405464.559,8659,0.30364372469635725,7266.319000000018,1288.7730000000447,0.1488362397505537,0.8391637602494535
88,88,743828,31,2020-11-04T03:09:25Z,alabama,2300000,1318255,2074338,2123372,0.586,0.401,0,59.37183383991894,298275.028,435883.208,82385,-2.672700573036522,30418.648999999976,50233.90299999999,0.6097457425502214,0.36922557504400044
89,89,753131,32,2020-11-04T03:12:01Z,alabama,2300000,1318255,2074338,2123372,0.59,0.397,0,59.777102330293815,298993.00700000004,444347.29,9303,0.40526849037487267,8464.081999999995,717.9790000000503,0.07717714715683653,0.9098228528431683
90,90,754766,32,2020-11-04T03:14:02Z,alabama,2300000,1318255,2074338,2123372,0.591,0.397,0,59.81781376518219,299642.102,446066.706,1635,0.040711434888372366,1719.4160000000265,649.0949999999721,0.3969999999999829,1.0516305810397717
91,91,761603,32,2020-11-04T03:14:47Z,alabama,2300000,1318255,2074338,2123372,0.593,0.39399999999999996,0,60.08105369807498,300071.582,451630.57899999997,6837,0.26323993289279457,5563.872999999963,429.4799999999814,0.062817025010967,0.8137886499926815
92,92,769023,32,2020-11-04T03:15:22Z,alabama,2300000,1318255,2074338,2123372,0.593,0.395,0,60.020242914979754,303764.085,456030.63899999997,7420,-0.060810783095227805,4400.059999999998,3692.503000000026,0.49764191374663425,0.5929999999999996
93,93,804036,34,2020-11-04T03:16:18Z,alabama,2300000,1318255,2074338,2123372,0.596,0.392,0,60.32388663967611,315182.112,479205.456,35013,0.30364372469635725,23174.81700000004,11418.027000000002,0.3261082169479908,0.6618917830520104
94,94,832953,35,2020-11-04T03:16:42Z,alabama,2300000,1318255,2074338,2123372,0.605,0.38299999999999995,0,61.23481781376518,319020.99899999995,503936.565,28917,0.9109311740890718,24731.108999999997,3838.8869999999297,0.13275536881418992,0.8552446311858075
95,95,845228,36,2020-11-04T03:17:36Z,alabama,2300000,1318255,2074338,2123372,0.609,0.379,0,61.63967611336032,320341.412,514743.852,12275,0.40485829959514064,10807.287000000011,1320.4130000000587,0.10756928716904755,0.8804307128309582
96,96,854682,36,2020-11-04T03:18:38Z,alabama,2300000,1318255,2074338,2123372,0.608,0.38,0,61.53846153846154,324779.16000000003,519646.65599999996,9454,-0.10121457489878338,4902.8039999999455,4437.748000000021,0.46940427332346324,0.5185957266765333
97,97,887955,37,2020-11-04T03:19:26Z,alabama,2300000,1318255,2074338,2123372,0.606,0.382,0,61.336032388663966,339198.81,538100.73,33273,-0.20242914979757387,18454.074000000022,14419.649999999965,0.4333739067712549,0.5546260932287447
98,98,905303,38,2020-11-04T03:20:10Z,alabama,2300000,1318255,2074338,2123372,0.61,0.37799999999999995,0,61.74089068825911,342204.5339999999,552234.83,17348,0.40485829959514064,14134.099999999977,3005.723999999929,0.17326054876642433,0.8147394512335703
99,99,917962,39,2020-11-04T03:20:36Z,alabama,2300000,1318255,2074338,2123372,0.612,0.376,0,61.94331983805668,345153.712,561792.744,12659,0.20242914979757387,9557.91399999999,2949.1780000000726,0.23297085077810828,0.7550291492218967
100,100,926122,39,2020-11-04T03:21:04Z,alabama,2300000,1318255,2074338,2123372,0.614,0.374,0,62.145748987854255,346369.628,568638.9079999999,8160,0.20242914979757387,6846.16399999999,1215.9160000000265,0.14900931372549345,0.8389906862745086
101,101,927741,39,2020-11-04T03:22:41Z,alabama,2300000,1318255,2074338,2123372,0.614,0.374,0,62.145748987854255,346975.134,569632.974,1619,0.0,994.066000000108,605.505999999994,0.3739999999999963,0.6140000000000667
102,102,961095,40,2020-11-04T03:23:35Z,alabama,2300000,1318255,2074338,2123372,0.62,0.368,0,62.75303643724696,353682.96,595878.9,33354,0.6072874493927074,26245.925999999978,6707.826000000001,0.2011100917431193,0.7868899082568801
103,103,970877,41,2020-11-04T03:24:12Z,alabama,2300000,1318255,2074338,2123372,0.621,0.36700000000000005,0,62.85425101214575,356311.85900000005,602914.617,9782,0.10121457489879049,7035.716999999946,2628.899000000034,0.26874861991413146,0.7192513800858665
104,104,1019460,43,2020-11-04T03:25:19Z,alabama,2300000,1318255,2074338,2123372,0.625,0.36200000000000004,0,63.32320162107395,369044.52,637162.5,48583,0.4689506089281963,34247.88300000003,12732.660999999964,0.26208058374328397,0.7049355330053729
105,105,1020191,43,2020-11-04T03:25:56Z,alabama,2300000,1318255,2074338,2123372,0.626,0.36200000000000004,0,63.36032388663968,369309.14200000005,638639.566,731,0.03712226556572773,1477.0659999999916,264.62200000003213,0.36200000000004395,2.0206101231190035
106,106,1036595,44,2020-11-04T03:26:28Z,alabama,2300000,1318255,2074338,2123372,0.624,0.363,0,63.22188449848024,376283.985,646835.28,16404,-0.13843938815943346,8195.714000000036,6974.842999999935,0.4251915996098473,0.4996168007802997
107,107,1042877,44,2020-11-04T03:26:41Z,alabama,2300000,1318255,2074338,2123372,0.622,0.366,0,62.955465587044536,381692.982,648669.494,6282,-0.2664189114357072,1834.21399999992,5408.997000000032,0.8610310410697282,0.29197930595350524
108,108,1045742,44,2020-11-04T03:28:28Z,alabama,2300000,1318255,2074338,2123372,0.623,0.365,0,63.05668016194332,381695.83,651497.266,2865,0.10121457489878338,2827.771999999997,2.8479999999981374,0.0009940663176258768,0.9870059336823725
109,109,1053693,44,2020-11-04T03:30:56Z,alabama,2300000,1318255,2074338,2123372,0.623,0.365,0,63.05668016194332,384597.945,656450.739,7951,0.0,4953.472999999998,2902.1149999999907,0.3649999999999988,0.6229999999999998
110,110,1091758,46,2020-11-04T03:32:55Z,alabama,2300000,1318255,2074338,2123372,0.623,0.365,0,63.05668016194332,398491.67,680165.234,38065,0.0,23714.49500000011,13893.724999999977,0.3649999999999994,0.6230000000000029
